Country,Year,Happiness index,GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country code,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Households overcrowding,Internet access,Home access to computers,Unemployment benefits,Average wage,Health spending,Happy country
Canada,2011,7.487824440002441,10.697237968444824,0.9428445100784302,72.0199966430664,0.9150578379631042,0.24621716141700745,0.4126221239566803,0.8674325346946716,0.247633159160614,CAN,-13.45392,12.468069,73.3337809194056,55.1076448952314,10.5925,0.163,8.0036383,0.654061091181972,77.8,81.7,31.0,49878.1336609729,10.717,0
Chile,2011,6.062851905822754,9.849907875061035,0.8355436325073242,68.66000366210938,0.7442919015884399,0.16837505996227264,0.6336298584938049,0.8041359782218933,0.34765687584877014,CHL,8.187045,43.493385,43.38875,47.8705612609628,26.06474,0.23,17.024143,9.82161909341812,19.7,34.5,25.0,19548.2212029304,6.035,1
Chile,2011,5.9422502517700195,10.09518814086914,0.8691219091415405,70.0,0.659176766872406,-0.10276608169078827,0.8604915738105774,0.8086165189743042,0.33724379539489746,CHL,2.23108,32.552322,136.62175,15.2523450266274,26.68012,0.215,11.724501,9.25341174006462,87.53899513,60.15454498,37.0,29578.9720728487,9.333,1
Colombia,2011,6.350297927856445,9.597702026367188,0.8725789189338684,68.0,0.8215007185935974,-0.17213095724582672,0.8536461591720581,0.8224903345108032,0.32180628180503845,COL,3.525493,43.28978,131.953,32.7981098741416,50.92817,0.15151481481481477,20.306105,11.405780157246307,52.15725365,37.1666571,42.07643312101911,40640.148718197495,1.145,0
Costa Rica,2011,6.854004383087158,9.799487113952637,0.8782729506492615,70.69999694824219,0.9069256782531738,-0.059071723371744156,0.761419415473938,0.8497095704078674,0.28644031286239624,CRI,3.1273992436044358,60.632359,100.0,26.1169247723198,24.31303,0.275,17.014252,11.405780157246307,60.18118263,53.2,42.07643312101911,40640.148718197495,1.7,0
Czech Republic,2011,6.249617576599121,10.419456481933594,0.9341611266136169,68.0999984741211,0.7791122198104858,-0.04180572181940079,0.9259641170501709,0.6413692831993103,0.24408434331417084,CZE,4.562129,8.0573692,95.2250000000001,31.2066329181842,21.87338,0.106,3.7581208,17.2096505761146,60.5179,64.0561,15.0,24309.3725221021,6.875,0
Denmark,2011,7.770515441894531,10.838536262512207,0.9749770760536194,70.4000015258789,0.9436308145523071,0.24244248867034912,0.17489609122276306,0.7848266363143921,0.15456293523311615,DNK,9.039444,23.289925,90.6729766824417,58.6689437181275,12.4823,0.035,6.5462475,7.14356750249863,86.0984,88.0249,84.0,54928.3171318432,10.333,0
Estonia,2011,5.3320441246032715,10.347339630126953,0.8956315517425537,65.31999969482422,0.7121208906173706,-0.24583615362644196,0.7426971793174744,0.6655698418617249,0.1762310117483139,EST,7.842901,11.159678,106.534983662541,41.7540209995277,19.878318357723604,0.141,5.7439179,9.08089503645897,52.2022,56.4735,45.0,22405.1384365077,4.984,1
Finland,2011,7.670626640319824,10.79586410522461,0.9513399004936218,70.08000183105469,0.9341789484024048,0.027669347822666168,0.2165675312280655,0.7727776765823364,0.1435387134552002,FIN,13.47567,18.926767,87.058,46.1843622158383,16.72023,0.052,5.0761824,8.54810550808906,72.3805,75.7674,57.0,44204.2691129914,8.343,0
France,2011,6.667121410369873,10.669451713562012,0.9076908230781555,72.80000305175781,0.8777957558631897,-0.12451435625553131,0.6990693807601929,0.8001360893249512,0.20496968924999237,FRA,0.7326354,25.153784,103.8,39.5130526926862,14.53729,0.114,7.7829313,6.38904497027397,81.7192,81.5595,69.0,44926.6938878833,11.416,0
Germany,2011,6.96512508392334,10.81723690032959,0.9314205646514893,71.13999938964844,0.8943129777908325,0.024312058463692665,0.5657942295074463,0.7434873580932617,0.20499591529369354,DEU,1.126113,13.679199,92.5982314955788,55.7760681240501,13.87754,0.098,2.8013389,5.68085573613644,87.747,88.8744,59.0,49158.7072422073,10.998,0
Greece,2011,4.720251083374023,10.242718696594238,0.6866500377655029,71.68000030517578,0.4259665310382843,-0.2720417380332947,0.9413098692893982,0.6891623735427856,0.48218315839767456,GRC,6.556059,32.80518,113.81625,14.3608581264098,40.55271,0.188,9.2941189,18.6488971114159,56.3126,59.5484,38.0,26728.894495666,8.367,0
Hungary,2011,4.914466857910156,10.139545440673828,0.8773183226585388,66.08000183105469,0.6737282872200012,-0.11291342228651047,0.9115331768989563,0.7057036757469177,0.3067241311073303,HUN,-5.453937,17.505869,84.8699999999999,32.7895949552699,13.86723,0.143,5.9510446,33.3227455615997,69.6587,71.3968,21.0,20987.2063523599,7.249,1
