Country name,Year,Life Ladder,Log GDP per capita,Social support,Freedom to make life choices,Perceptions of corruption,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate,Happy country
Slovakia,2013,5.936527252197266,10.218249320983887,0.9093785285949707,0.5979357957839966,0.9145399332046509,-1.359578,8.2006197,93.5867660330847,28.3493229202678,15.15367,0.138,5.4259529,0
Slovenia,2013,5.974888801574707,10.385202407836914,0.9321197271347046,0.8900598287582397,0.9178395867347717,2.203717,14.546692,106.21,16.3433186290268,19.61884,0.098,3.5458431,0
South Africa,2013,3.6607272624969482,9.461276054382324,0.8394244909286499,0.7141690254211426,0.799543023109436,10.61003,60.621803,87.4525313686716,51.0355342127794,19.863,0.272,14.160798,0
South Korea,2013,5.958809852600098,10.520309448242188,0.7966941595077515,0.6418842673301697,0.8318632245063782,0.2889576,16.277796,95.7695678383814,34.8586394756612,28.90928,0.175,8.053,0
Spain,2013,6.150027275085449,10.475642204284668,0.9286404848098755,0.7593564391136169,0.9158225655555725,0.0366841,44.545616,96.2392594018516,18.454966121112,21.89097,0.234,11.18406,1
Sweden,2013,7.4340105056762695,10.803651809692383,0.9156480431556702,0.9359105229377747,0.3244815468788147,-1.846099,11.829718,80.7849999999999,57.98550545138,14.55015,0.09,4.0550199,1
Turkey,2013,4.888177394866943,10.090672492980957,0.7954511642456055,0.5407233834266663,0.6980648040771484,7.485767,65.167839,75.9460000000001,53.831178354506,32.72508,0.252,22.160118,0
United Kingdom,2013,6.918055057525635,10.678744316101074,0.9368841052055359,0.9052780270576477,0.5680431723594666,3.339695,20.849527,87.3505,37.9231633242686,19.863,0.099,9.0502501,1
United States,2013,7.2492852210998535,10.939349174499512,0.9253968596458435,0.7922556400299072,0.7468940615653992,-0.6790125,10.371985,90.6433157385721,28.8647499093217,7.500729,0.205,8.8213549,1
Australia,2014,7.28855037689209,10.772080421447754,0.9237987399101257,0.9229322671890259,0.44202136993408203,1.184765,22.895836,91.72025,46.4676233517878,12.05244,0.13,7.217288,1
Austria,2014,6.949999809265137,10.882267951965332,0.898920476436615,0.8850268721580505,0.5669313073158264,-2.028441,16.143999,95.33,40.7695403712258,15.75372,0.108,7.2301421,1
Belgium,2014,6.8553290367126465,10.795228958129883,0.9435491561889648,0.8609535098075867,0.5119757652282715,-6.193333,26.44935,98.417,46.911160946126,17.86228,0.092,5.3908639,1
Brazil,2014,6.980998992919922,9.664237022399902,0.8983164429664612,0.7138143181800842,0.7103034257888794,7.517608,52.637005,99.134486560829,35.522868728624,34.23743,0.3,15.773277,1
Canada,2014,7.304257869720459,10.775054931640625,0.9178363084793091,0.9388976097106934,0.44173532724380493,3.528736,10.011459,94.8840911924655,51.6953607599081,9.376606,0.15,7.0230107,1
Chile,2014,6.84423828125,10.059429168701172,0.8615521788597107,0.7333263754844666,0.7584977149963379,6.246097,38.585766,87.0632499999999,39.9530012612776,24.77937,0.225,12.741814,1
Colombia,2014,6.448789119720459,9.546182632446289,0.9074026346206665,0.8011914491653442,0.8866457343101501,2.897819,48.033009,91.7764999999999,29.8372499097274,53.23745,0.149,18.539675,1
Czech Republic,2014,6.483729839324951,10.446137428283691,0.8779152035713196,0.8004209995269775,0.8968806862831116,-3.672866,6.8099089,96.1750000000001,33.9732811212868,21.93496,0.102,3.241015,1
Denmark,2014,7.507559299468994,10.862313270568848,0.9563443064689636,0.9415722489356995,0.23721833527088165,-0.2548752,20.446318,93.4987337468343,45.7836906639968,12.0078,0.029,4.4828024,1
Estonia,2014,5.55598258972168,10.330840110778809,0.9171017408370972,0.773327112197876,0.6524474620819092,-4.009001,11.895004,93.5795160512099,41.4985885239936,19.863,0.15,6.9754162,0
Finland,2014,7.384571075439453,10.713906288146973,0.9520165324211121,0.9330439567565918,0.2654798924922943,-1.735038,13.493114,99.99225,46.8558861843762,18.44372,0.036,5.5233388,1
France,2014,6.466867923736572,10.67423152923584,0.8775045275688171,0.8034741878509521,0.6556374430656433,-1.476806,22.681496,101.925,26.380172229118,14.81659,0.115,7.863688,1
Germany,2014,6.9842143058776855,10.835081100463867,0.9375589489936829,0.8986834287643433,0.47395291924476624,-2.206924,13.096583,95.4989887474719,60.1368861157108,13.54149,0.095,2.9256914,1
Greece,2014,4.756237030029297,10.25675106048584,0.8323332071304321,0.3691563308238983,0.9302138090133667,-1.784672,31.733679,105.32025,18.8292739352843,39.95525,0.191,10.486202,0
Hungary,2014,5.180563449859619,10.183334350585938,0.8447352647781372,0.49447470903396606,0.8553614020347595,-6.823916,16.905603,88.4274999999999,30.8385162025936,13.61067,0.132,6.8410015,0
India,2014,4.424379348754883,8.538408279418945,0.6214666366577148,0.8093829154968262,0.8321419954299927,6.353195,71.298172,88.0320000000001,42.666,19.863,0.236,8.053,0
Ireland,2014,7.018379211425781,10.958863258361816,0.9677446484565735,0.9216295480728149,0.40603625774383545,-1.454651,21.187292,89.72325,45.988237149778,24.01958,0.093,9.1234741,1
Israel,2014,7.400570392608643,10.532818794250488,0.8890697360038757,0.7069746255874634,0.8180399537086487,-0.239952,14.64511,94.4667500000001,44.3641847979144,15.55321,0.243,7.7858062,1
Italy,2014,6.026585102081299,10.598977088928223,0.897899329662323,0.6235312223434448,0.919959545135498,-2.955566,40.693222,103.95,30.9035740148672,29.16799,0.193,11.189617,1
Japan,2014,5.92262077331543,10.57520866394043,0.900040328502655,0.8380517363548279,0.6174831390380859,6.543596,48.185074,97.64825,37.9515283802331,12.26904,0.14,3.699199,0
Latvia,2014,5.7291154861450195,10.144242286682129,0.8812555074691772,0.6706531643867493,0.8036875128746033,-1.994237,13.338798,103.475,22.9044727859833,11.54129,0.156,3.7500212,0
Lithuania,2014,6.125723838806152,10.305781364440918,0.9082398414611816,0.5079472064971924,0.9563478827476501,-3.865776,8.8240929,96.4700000000001,34.4657157812356,14.03516,0.204,2.7019365,1
Luxembourg,2014,6.891127109527588,11.598289489746094,0.875469446182251,0.9379876852035522,0.3662867844104767,-4.620914,18.023409,94.877737194343,66.2738325750152,8.583423,0.137,2.3953583,1
Mexico,2014,6.679831027984619,9.847311973571777,0.7819649577140808,0.7791329026222229,0.6298511624336243,8.36129,64.907104,92.4655188362028,32.758204257445,31.85994,0.197,15.267422,1
Netherlands,2014,7.321188449859619,10.867283821105957,0.9089957475662231,0.910179615020752,0.4569483697414398,-1.598605,24.098568,96.5565,52.5242282456353,19.95773,0.103,3.6374638,1
New Zealand,2014,7.305892467498779,10.59158706665039,0.9423808455467224,0.9318824410438538,0.27260860800743103,0.8155869,25.924784,88.9587776030559,62.9681341251676,18.20941,0.141,7.1290946,1
Norway,2014,7.4444708824157715,11.023677825927734,0.9411619305610657,0.9563161730766296,0.4048258364200592,-3.279715,18.052679,94.2500000000001,69.9690507161356,7.209891,0.072,3.4921939,1
Poland,2014,5.750282287597656,10.197011947631836,0.9236422777175903,0.8753570914268494,0.8977417349815369,-0.9583333,9.4829636,98.4537499999999,25.252284515161,24.27622,0.129,3.9979498,0
Portugal,2014,5.126911640167236,10.324914932250977,0.8618294596672058,0.8468101024627686,0.9410700798034668,-1.381984,56.719505,97.0375000000001,22.7394462001861,24.35303,0.182,6.0563369,0
Russia,2014,6.0369768142700195,10.171111106872559,0.9317554235458374,0.7443320751190186,0.8692672848701477,9.962452,6.6331944,97.9095,64.0166026865416,8.129652,0.207,5.3941045,1
Slovakia,2014,6.138873100280762,10.244430541992188,0.9242426753044128,0.6347917318344116,0.9138702154159546,-2.246368,9.1611462,94.906762733093,31.0181484673909,15.15367,0.145,5.6845059,1
Slovenia,2014,5.6783952713012695,10.411523818969727,0.9083475470542908,0.8877477049827576,0.9091182947158813,-1.409617,14.274657,99.2024999999998,17.6850998385603,20.71919,0.09,4.5709658,0
South Africa,2014,4.828456401824951,9.463746070861816,0.8811522126197815,0.7940309643745422,0.8202580213546753,7.167137,59.530769,94.1460146349634,48.799768138984,19.863,0.272,13.773669,0
South Korea,2014,5.80132532119751,10.545550346374512,0.7377541065216064,0.623193621635437,0.8340683579444885,-0.4091173,15.002967,97.2715713540321,28.4103521814528,28.37353,0.175,8.053,0
Spain,2014,6.456477642059326,10.492376327514648,0.9478644132614136,0.7384723424911499,0.8538879156112671,-0.8047075,43.382374,96.5392586518534,21.0619813423205,21.46796,0.227,9.653882,1
Sweden,2014,7.239147663116455,10.819960594177246,0.9327198266983032,0.9452733993530273,0.2503899931907654,-2.455462,18.445162,88.4024999999999,56.3272063866335,14.07848,0.092,4.3128948,1
Switzerland,2014,7.492803573608398,11.09799575805664,0.9587963223457336,0.9494014382362366,0.2830895781517029,-0.8454393,12.776213,97.452006369984,75.1631301277681,17.20635,0.099,8.1204834,1
Turkey,2014,5.579794406890869,10.124029159545898,0.8632882833480835,0.6491960883140564,0.7640135288238525,2.519825,64.367012,86.1545000000001,55.6478295938993,31.48532,0.253,20.970842,0
United Kingdom,2014,6.758147716522217,10.697120666503906,0.9102473258972168,0.8570396900177002,0.48411843180656433,0.0923361,20.83497,94.33875,42.2672082954794,19.863,0.11,8.4442377,1
United States,2014,7.151114463806152,10.956297874450684,0.9020970463752747,0.8660768866539001,0.7022674679756165,-0.3379915,10.429553,95.0839538108388,34.8671200449052,7.395839,0.202,8.6296797,1
Australia,2015,7.309060573577881,10.779377937316895,0.951861560344696,0.9218710064888,0.35655438899993896,-7.295417,20.980896,100.0,47.855683708198,12.13235,0.13,5.9854727,1
Austria,2015,7.076447010040283,10.881152153015137,0.9281103014945984,0.9003051519393921,0.5574796199798584,-7.295769,15.351305,100.0,45.4789863460126,15.32502,0.096,5.7313957,1
Belgium,2015,6.904219150543213,10.809558868408203,0.8852088451385498,0.8694749474525452,0.4687846302986145,-5.838249,25.322903,100.0,45.9024212028926,18.74872,0.092,4.3356481,1
Brazil,2015,6.546896934509277,9.619746208190918,0.9066931009292603,0.7989352941513062,0.7713390588760376,9.79483,51.127499,100.0,19.8534782635747,35.64426,0.3,17.149776,1
Canada,2015,7.4127726554870605,10.774161338806152,0.9390670657157898,0.9314689636230469,0.42715224623680115,-9.569909,9.5978909,100.0,64.4104144291728,9.121463,0.171,6.7771816,1
Chile,2015,6.532749652862549,10.070427894592285,0.8271418809890747,0.7688814401626587,0.8115113377571106,-4.484205,35.133507,100.0,30.0492532675277,24.78004,0.211,11.449327,1
Colombia,2015,6.387571811676025,9.563640594482422,0.8899000287055969,0.7908979654312134,0.8428993225097656,4.990234,49.589104,100.0,27.1786738027577,52.88057,0.149,17.903881,1
Czech Republic,2015,6.608017444610596,10.495902061462402,0.9113625884056091,0.8084841966629028,0.886467456817627,-3.04548,6.841207,100.0,43.5425873134496,20.88235,0.104,3.0411708,1
Denmark,2015,7.514424800872803,10.87840461730957,0.9597012996673584,0.9414364099502563,0.19101639091968536,-6.79888,20.280628,100.0,57.9888642484797,11.86558,0.029,4.3792877,1
Estonia,2015,5.628908634185791,10.348464965820312,0.9179296493530273,0.8146923780441284,0.5687344670295715,-7.026424,11.442164,100.0,33.6689789771476,19.863,0.121,5.4960833,0
Finland,2015,7.447925567626953,10.716032981872559,0.9478005766868591,0.9298619031906128,0.22336965799331665,-5.985292,12.847135,100.0,55.7600285323456,18.74912,0.037,5.1538558,1
France,2015,6.3576250076293945,10.681742668151855,0.8957194089889526,0.8170362114906311,0.6406020522117615,-4.764578,22.467602,100.0,32.8252697918279,11.53514,0.113,7.4459929,1
Germany,2015,7.037137508392334,10.843671798706055,0.925923228263855,0.8894288539886475,0.4121682941913605,-7.318778,13.208749,100.0,62.8003646734885,13.37521,0.112,2.5401251,1
Greece,2015,5.622519016265869,10.258951187133789,0.8348246812820435,0.5317363142967224,0.8239596486091614,-10.26859,29.780088,100.0,43.7318934948755,38.86119,0.189,8.3757219,0
Hungary,2015,5.344383239746094,10.223447799682617,0.8587338328361511,0.5577213764190674,0.9075303077697754,-7.586052,16.783051,100.0,27.9211903401081,13.25721,0.105,6.115346,0
Iceland,2015,7.49807071685791,10.853975296020508,0.9802832007408142,0.9404851198196411,0.638661801815033,-5.522176,26.582855,100.0,42.7228133576729,19.863,0.059,3.7208662,1
India,2015,4.342079162597656,8.604167938232422,0.6101332902908325,0.7772252559661865,0.7764349579811096,5.872427,71.298172,100.0,42.666,19.863,0.236,8.053,0
Ireland,2015,6.830125331878662,11.173857688903809,0.9529425501823425,0.89227694272995,0.40875691175460815,-8.170344,20.182577,100.0,57.1841082491839,23.31817,0.111,7.996387,1
Israel,2015,7.079411029815674,10.535648345947266,0.8641301989555359,0.7527839541435242,0.7894299030303955,-12.34048,14.464885,100.0,40.5343225887399,15.85165,0.255,8.8250065,1
Italy,2015,5.847683906555176,10.607693672180176,0.908986508846283,0.5747657418251038,0.9127530455589294,-6.996037,40.108776,100.0,26.0625878767127,28.72393,0.183,11.421586,0
Japan,2015,5.8796844482421875,10.588424682617188,0.9226571917533875,0.8316941857337952,0.654443085193634,-7.170483,49.541573,100.0,35.2867215184008,12.00962,0.14,3.699199,0
Latvia,2015,5.8805975914001465,10.184513092041016,0.8793724179267883,0.6563931703567505,0.8084003925323486,-2.741531,12.217953,100.0,29.8912100137923,12.66914,0.123,3.0982261,0
Lithuania,2015,5.71137809753418,10.335315704345703,0.9285235404968262,0.641470193862915,0.9241740703582764,-11.74955,8.6442165,100.0,36.7034540214476,14.60459,0.19,3.9112835,0
Luxembourg,2015,6.701571464538574,11.616852760314941,0.9336045980453491,0.9322564005851746,0.3753904700279236,-9.326459,25.391632,100.0,69.4678367168458,8.583423,0.137,9.3066521,1
Mexico,2015,6.2362871170043945,9.8672513961792,0.760614275932312,0.719465970993042,0.7079719305038452,2.46255,64.336807,100.0,25.6193175012112,31.58715,0.197,14.510233,1
Netherlands,2015,7.324437141418457,10.882254600524902,0.8790104389190674,0.9039787650108337,0.411822110414505,-5.477798,23.600424,100.0,57.9621031534256,19.81905,0.1,3.5742121,1
New Zealand,2015,7.418120861053467,10.608246803283691,0.9873434901237488,0.9417842626571655,0.18588870763778687,-5.600217,25.277622,100.0,62.0907686447981,17.61272,0.141,7.0771184,1
Norway,2015,7.603433609008789,11.033207893371582,0.9468339681625366,0.9476205110549927,0.2988143563270569,-4.327315,17.628136,100.0,58.6871616601625,7.023855,0.073,2.8272896,1
Poland,2015,6.007021903991699,10.235350608825684,0.8930904269218445,0.7934621572494507,0.8100963234901428,-4.133333,9.2220259,100.0,21.1427917322036,24.16483,0.135,5.1995797,1
Portugal,2015,5.08086633682251,10.346818923950195,0.866213858127594,0.8004403114318848,0.9410507678985596,-3.610388,54.877064,100.0,21.7742198661133,22.71271,0.155,5.5104203,0
Russia,2015,5.995538711547852,10.149029731750488,0.9243632555007935,0.6854547262191772,0.9134182929992676,20.9856,6.3395805,100.0,64.923309285879,8.100484,0.207,5.4000378,0
Slovakia,2015,6.162004470825195,10.290573120117188,0.9434536695480347,0.587157666683197,0.9275451302528381,-4.004848,8.7147398,100.0,27.6530670802911,15.15367,0.149,6.2532964,1
Slovenia,2015,5.740642070770264,10.432632446289062,0.9011637568473816,0.8960072994232178,0.8921979069709778,-6.703363,13.213673,100.0,20.260482038015,19.02741,0.072,4.952723,0
South Africa,2015,4.887325763702393,9.460323333740234,0.8980962634086609,0.8624494075775146,0.8526947498321533,-2.344368,59.361786,100.0,58.3995686010351,19.863,0.272,13.793466,0
South Korea,2015,5.780211448669434,10.567980766296387,0.7683506011962891,0.6158487796783447,0.840721607208252,-14.10364,14.229398,100.0,26.4757379348352,27.53801,0.175,8.053,0
Spain,2015,6.3806633949279785,10.530786514282227,0.956471860408783,0.732000470161438,0.8216649293899536,-9.014292,42.565994,100.0,27.7751327590428,20.99222,0.221,9.1175423,1
Sweden,2015,7.288922309875488,10.853300094604492,0.9294599890708923,0.9350720643997192,0.2319641411304474,-4.895354,18.024088,100.0,49.9302027773589,13.92603,0.091,11.784966,1
