Country name,TIME,Life Ladder,Log GDP per capita,Social support,Freedom to make life choices,Perceptions of corruption,LOCATION,Inflation rate,Adult education,Housing prices,Trust in government,Self-employment rate,Poverty rate,Unemployed youth rate
Hungary,2017.0,6.065038681030273,10.29313850402832,0.8767475485801697,0.6611659526824951,0.886361300945282,HUN,3.818279,15.97375,127.24,37.7770498769594,12.05866,0.099,5.4025397
Hungary,2018.0,5.9357709884643555,10.344091415405273,0.9405913949012756,0.6926270723342896,0.9112774133682251,HUN,4.6986,15.138174,145.495,38.8044038624269,12.30263,0.086,6.7675948
Hungary,2019.0,6.000259876251221,10.392767906188965,0.9465155601501465,0.798041045665741,0.883571445941925,HUN,0.5382665,15.026365,170.1675,48.3934186398412,12.87366,0.084,5.9567003
Hungary,2020.0,6.038049697875977,10.335147857666016,0.9434003829956055,0.7709680795669556,0.8361051082611084,HUN,-2.917014,14.426455,178.577500013099,42.8733251215195,14.12942,,6.6542039
Iceland,2008.0,6.888284206390381,10.861430168151855,0.9774295687675476,0.8851961493492126,0.7080492973327637,ISL,21.6826,32.234756,82.2564556411391,,,0.058,4.8379846
Iceland,2012.0,7.590660095214844,10.77746295928955,0.9789652824401855,0.9046545028686523,0.7585856318473816,ISL,8.744698,30.561222,80.5609514023786,25.7335575753305,,0.081,6.7853003
Iceland,2013.0,7.501394271850586,10.808510780334473,0.9671449065208435,0.923207700252533,0.7125987410545349,ISL,0.09186638,29.45565,85.2074630186576,45.6565933652838,,0.055,5.1898456
Iceland,2015.0,7.49807071685791,10.853975296020508,0.9802832007408142,0.9404851198196411,0.638661801815033,ISL,-5.522176,26.582855,100.0,42.7228133576729,,0.059,3.7208662
Iceland,2016.0,7.510034561157227,10.904261589050293,0.9849400520324707,0.9516095519065857,0.7192995548248291,ISL,-2.876054,23.394308,109.766774416936,36.3518302386903,,0.065,3.5002017
Iceland,2017.0,7.4762139320373535,10.925262451171875,0.966752827167511,0.9387832880020142,0.726845383644104,ISL,2.527174,25.207304,131.19582798957,36.5041931341138,,0.054,3.7204158
Iceland,2019.0,7.532504558563232,10.930853843688965,0.9818245768547058,0.9594700932502747,0.6987079381942749,ISL,2.755354,24.060982,148.291120727802,52.1377060493115,,,4.2887034
Iceland,2020.0,7.575489521026611,10.824200630187988,0.9832860827445984,0.9486271739006042,0.6440638899803162,ISL,-1.991862,24.087782,157.788394470986,59.2407281936249,,,5.3882513
India,2009.0,4.521517753601074,8.28123950958252,0.6528520584106445,0.6786436438560486,0.8946110606193542,IND,10.88235,,37.1092499979491,,,,
India,2010.0,4.989277362823486,8.34929370880127,0.6048097610473633,0.7830603718757629,0.8625480532646179,IND,11.98939,,45.0782188021163,,,,
India,2011.0,4.634871482849121,8.387494087219238,0.5525931119918823,0.8375516533851624,0.9077935218811035,IND,8.858361,71.298172,53.9027500000001,,,0.236,
India,2012.0,4.720146656036377,8.428304672241211,0.5105745792388916,0.6093201041221619,0.8296147584915161,IND,9.312446,,66.9665000000001,,,,
India,2013.0,4.427788734436035,8.478379249572754,0.5528263449668884,0.7401766180992126,0.832356333732605,IND,10.90764,,76.6862500000001,,,,
India,2014.0,4.424379348754883,8.538408279418945,0.6214666366577148,0.8093829154968262,0.8321419954299927,IND,6.353195,,88.0320000000001,,,,
India,2015.0,4.342079162597656,8.604167938232422,0.6101332902908325,0.7772252559661865,0.7764349579811096,IND,5.872427,,100.0,,,,
India,2016.0,4.179177284240723,8.672600746154785,0.6135293841362,0.8200687766075134,0.7647221088409424,IND,4.941027,,106.68575,,,,
India,2017.0,4.046111106872559,8.730042457580566,0.606767475605011,0.8858504295349121,0.7808027863502502,IND,2.490887,,115.658,,,,
India,2018.0,3.818068742752075,8.77906608581543,0.6380519866943359,0.8904433846473694,0.805263340473175,IND,4.8607,,122.24825,,,,
India,2019.0,3.248769760131836,8.817933082580566,0.5607807636260986,0.8755403161048889,0.751979410648346,IND,7.659695,,126.3095,,,,
India,2020.0,4.225281238555908,8.70277214050293,0.616639256477356,0.9063913226127625,0.7801240086555481,IND,5.561349,,129.464749998719,,,,
Indonesia,2006.0,4.9469780921936035,8.850008010864258,0.7709508538246155,0.713171124458313,0.9151200652122498,IDN,13.10867,74.035995,65.7578356054109,,,,
Indonesia,2007.0,5.1012139320373535,8.89828872680664,0.7037881016731262,0.603260338306427,0.959867000579834,IDN,6.406562,73.748695,67.2250819372951,,,,
Indonesia,2008.0,4.815309524536133,8.943452835083008,0.6750754117965698,0.5956333875656128,0.968211829662323,IDN,10.22667,79.396156,68.8260779348051,,,,
Indonesia,2009.0,5.472361087799072,8.975410461425781,0.7793680429458618,0.7837928533554077,0.9109413027763367,IDN,4.386416,71.04689,70.1598246004384,,,,
Indonesia,2010.0,5.45729923248291,9.022411346435547,0.8160215020179749,0.6996575593948364,0.9540495872497559,IDN,5.134203,69.68969,72.2938192654518,,,,
Indonesia,2011.0,5.172608375549316,9.068800926208496,0.8249770402908325,0.8782871961593628,0.96229487657547,IDN,5.356048,68.898232,75.6283109292226,,,,
Indonesia,2012.0,5.36777400970459,9.113834381103516,0.8336211442947388,0.7703193426132202,0.9615888595581055,IDN,4.279512,68.246284,79.0100524748687,,,,
Indonesia,2013.0,5.292237758636475,9.154507637023926,0.7937608361244202,0.7806907892227173,0.9726685881614685,IDN,6.4125,67.267471,88.5177787055532,,,,
Indonesia,2014.0,5.597375392913818,9.190253257751465,0.9048278331756592,0.7194132804870605,0.9701442122459412,IDN,6.394926,66.420502,94.7300131749669,,,,
Indonesia,2015.0,5.042799949645996,9.225190162658691,0.8094781041145325,0.7794183492660522,0.9459672570228577,IDN,6.363121,64.566017,100.0,,,,
Indonesia,2016.0,5.136325359344482,9.262097358703613,0.7918305993080139,0.8299416303634644,0.8896774053573608,IDN,3.525805,62.976006,103.15949210127,,,,
Indonesia,2017.0,5.0984015464782715,9.299800872802734,0.7955892086029053,0.8650262951850891,0.9004164338111877,IDN,3.808798,62.102646,106.415233961915,,,,
Indonesia,2018.0,5.340295791625977,9.338868141174316,0.8093788623809814,0.8793743848800659,0.8677294254302979,IDN,3.198346,,109.894975262561,,,,
Indonesia,2019.0,5.346512794494629,9.376888275146484,0.8019180297851562,0.8658591508865356,0.8607847690582275,IDN,3.030587,,111.910470223824,,,,
Ireland,2006.0,7.144246578216553,10.971881866455078,0.9670411348342896,0.943274736404419,0.4728485643863678,IRL,8.125138,33.656101,151.417,,23.20792,0.126,5.0103998
Ireland,2008.0,7.568029880523682,10.928620338439941,0.9825217127799988,0.8941087126731873,0.4869946539402008,IRL,8.801407,30.546635,151.4,,23.87206,0.118,8.4878063
Ireland,2009.0,7.0459113121032715,10.866336822509766,0.9587024450302124,0.8347296714782715,0.5796001553535461,IRL,-7.882923,28.832077,122.412,,25.56391,0.105,11.004281
Ireland,2010.0,7.257389545440674,10.878826141357422,0.9728859066963196,0.8560295701026917,0.6180241107940674,IRL,9.590643,27.225185,105.976,33.2579368160728,25.01818,0.1,10.149835
Ireland,2011.0,7.006904125213623,10.877893447875977,0.9773775935173035,0.9520343542098999,0.5899126529693604,IRL,11.97972,26.365326,87.8815,52.910414439423,24.54201,0.108,9.4298153
Ireland,2012.0,6.9646453857421875,10.875910758972168,0.9617859125137329,0.9021945595741272,0.5726322531700134,IRL,9.347947,25.367115,76.03775,34.5872712500754,24.61232,0.099,9.6333523
Ireland,2013.0,6.760085105895996,10.884071350097656,0.9551883339881897,0.8837720155715942,0.558394193649292,IRL,-0.1380012,23.273964,77.0045,28.5015541187537,24.30414,0.101,10.616149
Ireland,2014.0,7.018379211425781,10.958863258361816,0.9677446484565735,0.9216295480728149,0.40603625774383545,IRL,-1.454651,21.187292,89.72325,45.988237149778,24.01958,0.093,9.1234741
Ireland,2015.0,6.830125331878662,11.173857688903809,0.9529425501823425,0.89227694272995,0.40875691175460815,IRL,-8.170344,20.182577,100.0,57.1841082491839,23.31817,0.111,7.996387
Ireland,2016.0,7.040731430053711,11.198687553405762,0.9581440091133118,0.8745891451835632,0.3985443115234375,IRL,-6.180678,18.31505,107.4845,57.4739774897754,22.78838,0.1,9.8417397
Ireland,2017.0,7.060155391693115,11.266105651855469,0.943481981754303,0.9053411483764648,0.33708474040031433,IRL,3.906451,17.994549,119.16175,60.3799646882271,21.8586,0.086,8.3601999
Ireland,2018.0,6.962335586547852,11.332249641418457,0.9378623962402344,0.8614715933799744,0.3622102439403534,IRL,7.131668,16.825432,131.3635,61.8405288767387,21.03151,0.08,6.0071573
Ireland,2019.0,7.254841327667236,11.371147155761719,0.9437263607978821,0.8924586772918701,0.37280356884002686,IRL,1.085116,16.342939,134.43075,58.1215976215141,20.09138,,6.3635793
Ireland,2020.0,7.03493070602417,11.322803497314453,0.9603110551834106,0.8820982575416565,0.3556327223777771,IRL,-5.009517,14.507091,134.847250004905,58.8148266866781,19.71695,,6.1878796
Israel,2006.0,7.173417091369629,10.389375686645508,0.927078902721405,0.8166528344154358,0.9053747653961182,ISR,4.323031,,50.406,,17.11126,,25.426382
Israel,2007.0,6.8411149978637695,10.42774486541748,0.8682168126106262,0.6828640699386597,0.8678209781646729,ISR,0.8111444,19.584095,49.62325,,16.56177,,25.748835
Israel,2008.0,7.261261463165283,10.43950366973877,0.8592641353607178,0.662969172000885,0.8981963992118835,ISR,11.10722,18.767063,53.381,,16.73091,,22.241932
Israel,2009.0,7.3529791831970215,10.42480182647705,0.9365730285644531,0.5925297737121582,0.9227184057235718,ISR,-5.32903,18.222622,60.69,,17.03045,,24.678871
Israel,2010.0,7.358916282653809,10.46103286743164,0.8818298578262329,0.5614778995513916,0.9021826982498169,ISR,3.957762,17.935621,71.3705000000001,44.8931701696651,16.98055,,23.568193
Israel,2011.0,7.43314790725708,10.489278793334961,0.8926965594291687,0.7222692370414734,0.8912953734397888,ISR,8.605934,16.986902,78.8795000000001,27.1090533365648,16.47671,0.238,24.184534
Israel,2012.0,7.110854625701904,10.493138313293457,0.9034155011177063,0.681439220905304,0.8623272776603699,ISR,8.564695,15.451829,81.4322500000001,34.3569755861465,16.18189,0.245,10.720357
Israel,2013.0,7.320563316345215,10.515121459960938,0.9085158705711365,0.7390016317367554,0.8485378623008728,ISR,1.770452,15.01176,88.82275,45.1302052164924,15.78407,0.243,9.0591307
Israel,2014.0,7.400570392608643,10.532818794250488,0.8890697360038757,0.7069746255874634,0.8180399537086487,ISR,-0.239952,14.64511,94.4667500000001,44.3641847979144,15.55321,0.243,7.7858062
Israel,2015.0,7.079411029815674,10.535648345947266,0.8641301989555359,0.7527839541435242,0.7894299030303955,ISR,-12.34048,14.464885,100.0,40.5343225887399,15.85165,0.255,8.8250065
Israel,2016.0,7.159010887145996,10.555092811584473,0.8896607756614685,0.7722973227500916,0.8040565848350525,ISR,-6.295732,13.231215,107.4585,43.8133169146668,15.97377,0.232,7.5833278
Israel,2017.0,7.33103609085083,10.570462226867676,0.9164408445358276,0.7680763006210327,0.7926522493362427,ISR,3.286156,12.625726,111.64925,38.9368155649342,15.4365,0.237,7.4795184
Israel,2018.0,6.927178859710693,10.585149765014648,0.9095954298973083,0.7246623039245605,0.7701348066329956,ISR,3.07135,13.634555,110.724,42.2329730495492,15.17867,0.222,8.879755
Israel,2019.0,7.331779956817627,10.600674629211426,0.9460106492042542,0.8344919085502625,0.7428677678108215,ISR,-0.4507946,12.920499,112.81225,49.5666912173238,14.93325,,8.1932468
Israel,2020.0,7.194928169250488,10.538053512573242,0.9590721726417542,0.831315815448761,0.7476390600204468,ISR,-7.882416,11.989373,116.261500000399,38.8938520677275,15.38308,,8.9423742
Italy,2005.0,6.85378360748291,10.702737808227539,0.9280006885528564,0.8021949529647827,0.9439123272895813,ITA,8.730396,49.913864,108.225783495829,,30.67804,0.16,11.154937
Italy,2007.0,6.5744123458862305,10.727191925048828,0.9122924208641052,0.6842970252037048,0.9221965670585632,ITA,0.9938205,47.700294,121.130252286662,,30.13576,0.155,10.169033
Italy,2008.0,6.779774188995361,10.71090030670166,0.8796631097793579,0.5430768728256226,0.9456250667572021,ITA,10.12968,46.687767,123.17709920595,,29.57071,0.161,9.5876942
Italy,2009.0,6.333800315856934,10.65208911895752,0.8803125023841858,0.7005504965782166,0.889984667301178,ITA,-8.187539,45.698818,118.646535330184,,29.35404,0.171,11.21578
Italy,2010.0,6.354238033294678,10.666001319885254,0.8723841309547424,0.7377389073371887,0.921075165271759,ITA,3.662258,44.825645,118.1,33.3916393469551,29.89356,0.18,12.469954
Italy,2011.0,6.05708646774292,10.671329498291016,0.9133093357086182,0.56773841381073,0.9334609508514404,ITA,11.3163,43.971539,119.7,25.9559683178087,29.72936,0.178,11.387149
Italy,2012.0,5.839313983917236,10.638372421264648,0.8694866299629211,0.5700949430465698,0.9083236455917358,ITA,14.23425,42.763065,116.65,28.0694606482693,29.58387,0.177,11.953429
Italy,2013.0,6.009373664855957,10.608197212219238,0.9162960648536682,0.4991687536239624,0.9426392912864685,ITA,-0.3686157,41.84333,109.1,14.597214319755,29.54053,0.177,11.045097
Italy,2014.0,6.026585102081299,10.598977088928223,0.897899329662323,0.6235312223434448,0.919959545135498,ITA,-2.955566,40.693222,103.95,30.9035740148672,29.16799,0.193,11.189617
Italy,2015.0,5.847683906555176,10.607693672180176,0.908986508846283,0.5747657418251038,0.9127530455589294,ITA,-6.996037,40.108776,100.0,26.0625878767127,28.72393,0.183,11.421586
Italy,2016.0,5.954524040222168,10.622243881225586,0.9272128343582153,0.623741626739502,0.9028012156486511,ITA,-5.38746,39.856853,100.25,23.7599087653847,28.1497,0.173,9.3510122
Italy,2017.0,6.1988701820373535,10.640283584594727,0.9197912216186523,0.6328432559967041,0.8666679263114929,ITA,4.542012,39.084484,99.175,23.0196292012131,27.69096,0.187,10.15299
Italy,2018.0,6.516526699066162,10.650134086608887,0.9126561284065247,0.650009274482727,0.8878248333930969,ITA,5.628084,38.252495,98.625,20.6626197456088,27.26441,0.18,10.964608
Italy,2019.0,6.4454169273376465,10.65520191192627,0.8384024500846863,0.7094788551330566,0.8655280470848083,ITA,0.4849168,37.837608,98.525,22.1925858303397,26.87814,,10.850264
Italy,2020.0,6.488356113433838,10.56257152557373,0.8898240327835083,0.7181554436683655,0.8440945744514465,ITA,-8.208165,37.138462,100.400000001851,37.4515772443029,26.74414,,10.887393
Japan,2005.0,6.515817165374756,10.529192924499512,0.9277119636535645,0.8677792549133301,0.6989297270774841,JPN,3.611259,39.939026,103.490130254451,,14.53227,,4.857934
Japan,2007.0,6.2381978034973145,10.557916641235352,0.9381480813026428,0.7960541248321533,0.8092333078384399,JPN,1.627119,41.024883,99.4049935338801,,13.52644,,4.3190289
Japan,2008.0,5.910679340362549,10.54643726348877,0.8873040676116943,0.772070050239563,0.8164753317832947,JPN,9.034595,42.842262,99.8524394864386,,13.32325,,4.1065073
Japan,2009.0,5.844999313354492,10.490875244140625,0.8883568644523621,0.7298880219459534,0.7401081919670105,JPN,-11.06547,43.764038,93.979,,13.12176,,4.9156394
Japan,2010.0,6.056752681732178,10.531758308410645,0.9019249081611633,0.7717223763465881,0.7695570588111877,JPN,2.673219,44.809975,95.3415000000001,27.0271481785631,12.81823,,4.5575395
Japan,2011.0,6.26279354095459,10.532456398010254,0.9167037010192871,0.8143964409828186,0.7337989807128906,JPN,5.838997,46.364063,95.42075,23.1063634833865,11.92635,,4.8096237
Japan,2012.0,5.968216419219971,10.548892974853516,0.9052954316139221,0.7528315186500549,0.6923874020576477,JPN,3.73519,46.619377,94.588,16.9178059703204,12.53307,,3.8409951
Japan,2013.0,5.959361553192139,10.570141792297363,0.9236883521080017,0.8214165568351746,0.6504982113838196,JPN,5.789015,47.311993,96.1485,35.8106893025437,12.34693,,4.0709038
Japan,2014.0,5.92262077331543,10.57520866394043,0.900040328502655,0.8380517363548279,0.6174831390380859,JPN,6.543596,48.185074,97.64825,37.9515283802331,12.26904,,3.699199
Japan,2015.0,5.8796844482421875,10.588424682617188,0.9226571917533875,0.8316941857337952,0.654443085193634,JPN,-7.170483,49.541573,100.0,35.2867215184008,12.00962,,
Japan,2016.0,5.95465087890625,10.594783782958984,0.8997738361358643,0.8360646367073059,0.6976393461227417,JPN,-10.23248,50.496956,102.21175,36.2200653973439,11.60055,,
Japan,2017.0,5.9106764793396,10.617879867553711,0.8819612860679626,0.8493965864181519,0.6591986417770386,JPN,5.318853,51.440529,104.79925,41.2489941601125,11.57565,,
Japan,2018.0,5.793575286865234,10.623132705688477,0.8864319324493408,0.7734721302986145,0.6867845058441162,JPN,6.97162,51.928062,106.83575,38.488039367055,11.54027,0.14,
Japan,2019.0,5.908039093017578,10.631743431091309,0.8776509165763855,0.8064715266227722,0.6171878576278687,JPN,1.367719,52.67799,108.53875,41.1213650479192,11.33162,,
Japan,2020.0,6.1179633140563965,10.579547882080078,0.8872491121292114,0.806036114692688,0.6086985468864441,JPN,-4.234739,,108.614500000378,42.337998467072,11.2714,,
Latvia,2006.0,4.709502220153809,10.032048225402832,0.8844987750053406,0.6408071517944336,0.937048614025116,LVA,12.64494,15.870779,104.474999988282,,11.65943,0.122,5.3854775
Latvia,2007.0,4.666971683502197,10.135619163513184,0.8355085849761963,0.70017409324646,0.9239526391029358,LVA,10.31641,15.36415,142.3675,,12.94548,0.145,6.4030027
Latvia,2008.0,5.1453752517700195,10.112092018127441,0.8554182648658752,0.6301114559173584,0.9263282418251038,LVA,27.42789,14.141485,143.9425,,12.95695,0.181,6.0289874
