"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","OVERCROWDING","TOT","PC","A","2012",27.6164889335632,
"LVA","OVERCROWDING","TOT","PC","A","2013",29.1428595781326,
"LVA","OVERCROWDING","TOT","PC","A","2014",31.0987293720245,
"LVA","OVERCROWDING","TOT","PC","A","2015",32.4794262647629,
"LVA","OVERCROWDING","TOT","PC","A","2016",33.7536126375198,
"LVA","OVERCROWDING","TOT","PC","A","2017",32.6821327209473,
"LVA","OVERCROWDING","TOT","PC","A","2018",34.2069059610367,
"LVA","OVERCROWDING","TOT","PC","A","2019",33.1455767154694,
"LTU","OVERCROWDING","TOT","PC","A","2011",11.453016102314,
"LTU","OVERCROWDING","TOT","PC","A","2012",11.7447279393673,
"LTU","OVERCROWDING","TOT","PC","A","2013",19.4931536912918,
"LTU","OVERCROWDING","TOT","PC","A","2014",20.5858454108238,
"LTU","OVERCROWDING","TOT","PC","A","2015",17.9268583655357,
"LTU","OVERCROWDING","TOT","PC","A","2016",16.4849117398262,
"LTU","OVERCROWDING","TOT","PC","A","2017",15.23796916008,
"LTU","OVERCROWDING","TOT","PC","A","2018",15.0903269648552,
"LTU","OVERCROWDING","TOT","PC","A","2019",14.7226125001907,
"SVN","OVERCROWDING","TOT","PC","A","2010",29.3475091457367,
"SVN","OVERCROWDING","TOT","PC","A","2011",13.4613201022148,
"SVN","OVERCROWDING","TOT","PC","A","2012",13.4153366088867,
"SVN","OVERCROWDING","TOT","PC","A","2013",12.1470995247364,
"SVN","OVERCROWDING","TOT","PC","A","2014",11.7046505212784,
"SVN","OVERCROWDING","TOT","PC","A","2015",10.9628602862358,
"SVN","OVERCROWDING","TOT","PC","A","2016",9.3870721757412,
"SVN","OVERCROWDING","TOT","PC","A","2017",9.583680331707,
"SVN","OVERCROWDING","TOT","PC","A","2018",9.41321328282356,
"SVN","OVERCROWDING","TOT","PC","A","2019",8.6800217628479,
"NZL","OVERCROWDING","TOT","PC","A","2013",1.35033201270955,
"NZL","OVERCROWDING","TOT","PC","A","2018",0.821102864051628,
